Sample Name,UCT-DCT Plate Barcode,UCT-DCT Well,QPCR Plate Barcode,QPCR Well-1,QPCR Well-2,QPCR Well-3,DIL1 Plate Barcode,DIL2 Plate Barcode,QSTD Plate Barcode,QMX Barcode
T20181108P002C01,LP9181121-UCT,A1,LP9181121-QPCR,A2,B1,B2,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
T20181108P002D01,LP9181121-UCT,B1,LP9181121-QPCR,C2,D1,D2,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
T20181108P001A01,LP9181121-UCT,C1,LP9181121-QPCR,E2,F1,F2,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
T20181108P001B01,LP9181121-UCT,D1,LP9181121-QPCR,G2,H1,H2,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
T20181108P009D03,LP9181121-UCT,E1,LP9181121-QPCR,I2,J1,J2,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
T20181108P009E03,LP9181121-UCT,F1,LP9181121-QPCR,K2,L1,L2,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
T20181108P009F03,LP9181121-UCT,G1,LP9181121-QPCR,M2,N1,N2,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
T20181108P009G03,LP9181121-UCT,H1,LP9181121-QPCR,O2,P1,P2,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
T20181108P009H03,LP9181121-UCT,A2,LP9181121-QPCR,A4,B3,B4,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
T20181108P003E01,LP9181121-UCT,B2,LP9181121-QPCR,C4,D3,D4,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
T20181108P003F01,LP9181121-UCT,C2,LP9181121-QPCR,E4,F3,F4,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
T20181108P004G01,LP9181121-UCT,D2,LP9181121-QPCR,G4,H3,H4,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
T20181108P004H01,LP9181121-UCT,E2,LP9181121-QPCR,I4,J3,J4,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
T20181108P005A02,LP9181121-UCT,F2,LP9181121-QPCR,K4,L3,L4,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
T20181108P005B02,LP9181121-UCT,G2,LP9181121-QPCR,M4,N3,N4,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
T20181108P006C02,LP9181121-UCT,H2,LP9181121-QPCR,O4,P3,P4,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
T20181108P006D02,LP9181121-UCT,A3,LP9181121-QPCR,A6,B5,B6,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
T20181108P007E02,LP9181121-UCT,B3,LP9181121-QPCR,C6,D5,D6,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
T20181108P007F02,LP9181121-UCT,C3,LP9181121-QPCR,E6,F5,F6,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
T20181108P008G02,LP9181121-UCT,D3,LP9181121-QPCR,G6,H5,H6,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
T20181108P008H02,LP9181121-UCT,E3,LP9181121-QPCR,I6,J5,J6,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
T20181108P008A03,LP9181121-UCT,F3,LP9181121-QPCR,K6,L5,L6,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
T20181108P008B03,LP9181121-UCT,G3,LP9181121-QPCR,M6,N5,N6,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
T20181108P008C03,LP9181121-UCT,H3,LP9181121-QPCR,O6,P5,P6,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
QSTD A1,27-4815,11,LP9181121-QPCR,A1,A3,A5,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
QSTD B1,27-4816,11,LP9181121-QPCR,C1,C3,C5,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
QSTD C1,27-4817,11,LP9181121-QPCR,E1,E3,E5,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
QSTD D1,27-4818,11,LP9181121-QPCR,G1,G3,G5,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
QSTD E1,27-4819,11,LP9181121-QPCR,I1,I3,I5,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
QSTD F1,27-4820,11,LP9181121-QPCR,K1,K3,K5,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
No Template Control,27-4814,11,LP9181121-QPCR,M1,M3,M5,LP9181121-DIL1,LP9181121-DIL2,LP7818924-QSTD,LP5009466-QMX
