Input Plate,Input Well,Output IMP Plate,Output IMP Well,CFP to IMP Volume,Output SSQC Plate,Output SSQC Well,CFP to SSQC Volume,RSB Barcode,RSB to SSQC Volume
LP9181119-CFP,A1,LP9181123-IMP,A1,50,LP9181123-SSQC,A1,2,LP9991109-RSB,8
LP9181119-CFP,B1,LP9181123-IMP,B1,50,LP9181123-SSQC,C1,2,LP9991109-RSB,8
LP9181119-CFP,C1,LP9181123-IMP,C1,50,LP9181123-SSQC,E1,2,LP9991109-RSB,8
LP9181119-CFP,D1,LP9181123-IMP,D1,50,LP9181123-SSQC,G1,2,LP9991109-RSB,8
LP9181119-CFP,E1,LP9181123-IMP,E1,50,LP9181123-SSQC,I1,2,LP9991109-RSB,8
LP9181119-CFP,F1,LP9181123-IMP,F1,50,LP9181123-SSQC,K1,2,LP9991109-RSB,8
LP9181119-CFP,G1,LP9181123-IMP,G1,50,LP9181123-SSQC,M1,2,LP9991109-RSB,8
LP9181119-CFP,H1,LP9181123-IMP,H1,50,LP9181123-SSQC,O1,2,LP9991109-RSB,8
LP9181119-CFP,A2,LP9181123-IMP,A2,50,LP9181123-SSQC,A3,2,LP9991109-RSB,8
LP9181119-CFP,B2,LP9181123-IMP,B2,50,LP9181123-SSQC,C3,2,LP9991109-RSB,8
LP9181119-CFP,C2,LP9181123-IMP,C2,50,LP9181123-SSQC,E3,2,LP9991109-RSB,8
LP9181119-CFP,D2,LP9181123-IMP,D2,50,LP9181123-SSQC,G3,2,LP9991109-RSB,8
LP9181119-CFP,E2,LP9181123-IMP,E2,50,LP9181123-SSQC,I3,2,LP9991109-RSB,8
LP9181119-CFP,F2,LP9181123-IMP,F2,50,LP9181123-SSQC,K3,2,LP9991109-RSB,8
LP9181119-CFP,G2,LP9181123-IMP,G2,50,LP9181123-SSQC,M3,2,LP9991109-RSB,8
LP9181119-CFP,H2,LP9181123-IMP,H2,50,LP9181123-SSQC,O3,2,LP9991109-RSB,8
LP9181119-CFP,A3,LP9181123-IMP,A3,50,LP9181123-SSQC,A5,2,LP9991109-RSB,8
LP9181119-CFP,B3,LP9181123-IMP,B3,50,LP9181123-SSQC,C5,2,LP9991109-RSB,8
LP9181119-CFP,C3,LP9181123-IMP,C3,50,LP9181123-SSQC,E5,2,LP9991109-RSB,8
LP9181119-CFP,D3,LP9181123-IMP,D3,50,LP9181123-SSQC,G5,2,LP9991109-RSB,8
LP9181119-CFP,E3,LP9181123-IMP,E3,50,LP9181123-SSQC,I5,2,LP9991109-RSB,8
LP9181119-CFP,F3,LP9181123-IMP,F3,50,LP9181123-SSQC,K5,2,LP9991109-RSB,8
LP9181119-CFP,G3,LP9181123-IMP,G3,50,LP9181123-SSQC,M5,2,LP9991109-RSB,8
LP9181119-CFP,H3,LP9181123-IMP,H3,50,LP9181123-SSQC,O5,2,LP9991109-RSB,8
