Input Plate,Input Well,Output Plate,Output Well,CFP Volume
LP9181119-CFP,A1,LP9181120-IMP,A1,50
LP9181119-CFP,B1,LP9181120-IMP,B1,50
LP9181119-CFP,C1,LP9181120-IMP,C1,50
LP9181119-CFP,D1,LP9181120-IMP,D1,50
LP9181119-CFP,E1,LP9181120-IMP,E1,50
LP9181119-CFP,F1,LP9181120-IMP,F1,50
LP9181119-CFP,G1,LP9181120-IMP,G1,50
LP9181119-CFP,H1,LP9181120-IMP,H1,50
LP9181119-CFP,A2,LP9181120-IMP,A2,50
LP9181119-CFP,B2,LP9181120-IMP,B2,50
LP9181119-CFP,C2,LP9181120-IMP,C2,50
LP9181119-CFP,D2,LP9181120-IMP,D2,50
LP9181119-CFP,E2,LP9181120-IMP,E2,50
LP9181119-CFP,F2,LP9181120-IMP,F2,50
LP9181119-CFP,G2,LP9181120-IMP,G2,50
LP9181119-CFP,H2,LP9181120-IMP,H2,50
LP9181119-CFP,A3,LP9181120-IMP,A3,50
LP9181119-CFP,B3,LP9181120-IMP,B3,50
LP9181119-CFP,C3,LP9181120-IMP,C3,50
LP9181119-CFP,D3,LP9181120-IMP,D3,50
LP9181119-CFP,E3,LP9181120-IMP,E3,50
LP9181119-CFP,F3,LP9181120-IMP,F3,50
LP9181119-CFP,G3,LP9181120-IMP,G3,50
LP9181119-CFP,H3,LP9181120-IMP,H3,50
